index,aesthetics,memory,quality,anomaly
0,0.750716563,,0.293526922,0.625076805
1,0.649570268,,0.310514537,0.38025156
2,0.700737392,,0.394330873,0.59808887
3,0.720436619,,0.224029213,0.402752216
4,0.539660618,,0.269922613,0.548136355
5,0.563948266,,0.387328053,0.439684247
6,0.546006503,,0.397287628,0.387967327
7,0.553911608,,0.313240848,0.45909989
8,0.70046167,,0.186649533,0.618194145
9,0.485344265,,0.272061475,0.602062483
10,0.548172534,,0.327865174,0.657968733
11,0.515305161,,0.231431345,0.415120734
12,0.521156353,,0.332939856,0.338837065
13,0.515211011,,0.244453551,0.398136916
14,0.50905665,,0.301441954,0.315642321
15,0.667838045,,0.178942049,0.261849317
16,0.603228487,,0.077452681,0.40192069
17,0.573427138,,0.239447147,0.489886838
18,0.449524533,,0.215012554,0.319141084
19,0.406710307,,0.18911895,0.402149417
20,0.614580934,,0.249735476,0.316167128
21,0.659997788,,0.25199723,0.353216183
22,0.712588009,,0.174407416,0.152171557
23,0.572237178,,0.259568515,0.240551599
24,0.635658592,,0.22770953,0.300616629
25,0.581883217,,0.242486753,0.329388952
26,0.698257966,,0.253128768,0.451436237
27,0.805554636,,0.228681815,0.408668644
28,0.675720503,,0.34420918,0.338226503
29,0.684555463,,0.217756085,0.46202087
30,0.695374482,,0.182715339,0.390717588
31,0.62386029,,0.325168273,0.218787944
32,0.657164302,,0.1848013,0.137378114
33,0.706554422,,0.198732052,0.123804789
34,0.758073973,,0.221077092,0.233952152
35,0.570837458,,0.279926136,0.346752304
36,0.466786479,,0.262430977,0.349179961
37,0.612450518,,0.124877122,0.314987264
38,0.719081696,,0.192692163,0.295816521
39,0.515322027,,0.131988185,0.157086818
40,0.715890429,,0.115548036,0.168895163
41,0.705190348,,0.109568722,0.234919534
42,0.607082718,,0.172242621,0.353326808
43,0.586174877,,0.239908146,0.424002708
44,0.617957539,,0.117009645,0.279889363
45,0.728838775,,0.115312282,0.166664894
46,0.660084088,,0.205914122,0.183233523
47,0.721391044,,0.118307993,0.129564372
48,0.731797591,,0.271040601,0.209640008
49,0.84329601,,0.208422282,0.189694814
50,0.729033051,,0.076727482,0.201709171
51,0.703847602,,0.123310023,0.10155004
52,0.611027988,,0.201818935,0.106097771
53,0.675614524,,0.11068713,0.219846401
54,0.641874592,,0.237602392,0.319276797
55,0.557273128,,0.151644046,0.292779238
56,0.621252641,,0.249505177,0.213609956
57,0.731810405,,0.257172647,0.168208263
58,0.548151953,,0.165242136,0.264169942
59,0.750914479,,0.163351011,0.265893878
60,0.659128401,,0.299554659,0.440629562
61,0.637902772,,0.377636656,0.506471785
62,0.645458733,,0.340197236,0.384750196
63,0.766778409,,0.321080364,0.489102179
64,0.767487825,,0.397564322,0.512143888
65,0.761940827,,0.486998837,0.542456705
66,0.749163873,,0.263923817,0.527190785
67,0.689432555,,0.106273206,0.341629593
68,0.706919118,,0.125820045,0.246808962
69,0.766590281,,0.250325768,0.256567316
