viewname,viewnum,frame,value,path
IP2,3,0,0.461563488,C:\Users\lit\Desktop\Auditorium\view-IP2\000.jpg
IP2,3,1,0.44317581,C:\Users\lit\Desktop\Auditorium\view-IP2\001.jpg
IP2,3,2,0.483700908,C:\Users\lit\Desktop\Auditorium\view-IP2\002.jpg
IP2,3,3,0.475224497,C:\Users\lit\Desktop\Auditorium\view-IP2\003.jpg
IP2,3,4,0.464305044,C:\Users\lit\Desktop\Auditorium\view-IP2\004.jpg
IP2,3,5,0.488213294,C:\Users\lit\Desktop\Auditorium\view-IP2\005.jpg
IP2,3,6,0.448244365,C:\Users\lit\Desktop\Auditorium\view-IP2\006.jpg
IP2,3,7,0.46212908,C:\Users\lit\Desktop\Auditorium\view-IP2\007.jpg
IP2,3,8,0.536336967,C:\Users\lit\Desktop\Auditorium\view-IP2\008.jpg
IP2,3,9,0.57853165,C:\Users\lit\Desktop\Auditorium\view-IP2\009.jpg
IP2,3,10,0.574707233,C:\Users\lit\Desktop\Auditorium\view-IP2\010.jpg
IP2,3,11,0.571084509,C:\Users\lit\Desktop\Auditorium\view-IP2\011.jpg
IP2,3,12,0.655894784,C:\Users\lit\Desktop\Auditorium\view-IP2\012.jpg
IP2,3,13,0.600843911,C:\Users\lit\Desktop\Auditorium\view-IP2\013.jpg
IP2,3,14,0.587037037,C:\Users\lit\Desktop\Auditorium\view-IP2\014.jpg
IP2,3,15,0.613328365,C:\Users\lit\Desktop\Auditorium\view-IP2\015.jpg
IP2,3,16,0.555119091,C:\Users\lit\Desktop\Auditorium\view-IP2\016.jpg
IP2,3,17,0.622172874,C:\Users\lit\Desktop\Auditorium\view-IP2\017.jpg
IP2,3,18,0.61314311,C:\Users\lit\Desktop\Auditorium\view-IP2\018.jpg
IP2,3,19,0.658963458,C:\Users\lit\Desktop\Auditorium\view-IP2\019.jpg
IP2,3,20,0.5938655,C:\Users\lit\Desktop\Auditorium\view-IP2\020.jpg
IP2,3,21,0.591302514,C:\Users\lit\Desktop\Auditorium\view-IP2\021.jpg
IP2,3,22,0.638145092,C:\Users\lit\Desktop\Auditorium\view-IP2\022.jpg
IP2,3,23,0.691375093,C:\Users\lit\Desktop\Auditorium\view-IP2\023.jpg
IP2,3,24,0.614031618,C:\Users\lit\Desktop\Auditorium\view-IP2\024.jpg
IP2,3,25,0.660855317,C:\Users\lit\Desktop\Auditorium\view-IP2\025.jpg
IP2,3,26,0.753617586,C:\Users\lit\Desktop\Auditorium\view-IP2\026.jpg
IP2,3,27,0.808078428,C:\Users\lit\Desktop\Auditorium\view-IP2\027.jpg
IP2,3,28,0.722268746,C:\Users\lit\Desktop\Auditorium\view-IP2\028.jpg
IP2,3,29,0.692765718,C:\Users\lit\Desktop\Auditorium\view-IP2\029.jpg
IP2,3,30,0.69365513,C:\Users\lit\Desktop\Auditorium\view-IP2\030.jpg
IP2,3,31,0.711584827,C:\Users\lit\Desktop\Auditorium\view-IP2\031.jpg
IP2,3,32,0.703180024,C:\Users\lit\Desktop\Auditorium\view-IP2\032.jpg
IP2,3,33,0.613516083,C:\Users\lit\Desktop\Auditorium\view-IP2\033.jpg
IP2,3,34,0.679227383,C:\Users\lit\Desktop\Auditorium\view-IP2\034.jpg
IP2,3,35,0.770117425,C:\Users\lit\Desktop\Auditorium\view-IP2\035.jpg
IP2,3,36,0.686210577,C:\Users\lit\Desktop\Auditorium\view-IP2\036.jpg
IP2,3,37,0.574263984,C:\Users\lit\Desktop\Auditorium\view-IP2\037.jpg
IP2,3,38,0.552532652,C:\Users\lit\Desktop\Auditorium\view-IP2\038.jpg
IP2,3,39,0.508662598,C:\Users\lit\Desktop\Auditorium\view-IP2\039.jpg
IP2,3,40,0.488587162,C:\Users\lit\Desktop\Auditorium\view-IP2\040.jpg
IP2,3,41,0.473493295,C:\Users\lit\Desktop\Auditorium\view-IP2\041.jpg
IP2,3,42,0.461211843,C:\Users\lit\Desktop\Auditorium\view-IP2\042.jpg
IP2,3,43,0.450602454,C:\Users\lit\Desktop\Auditorium\view-IP2\043.jpg
IP2,3,44,0.370428126,C:\Users\lit\Desktop\Auditorium\view-IP2\044.jpg
IP2,3,45,0.487413172,C:\Users\lit\Desktop\Auditorium\view-IP2\045.jpg
IP2,3,46,0.536267083,C:\Users\lit\Desktop\Auditorium\view-IP2\046.jpg
IP2,3,47,0.498486286,C:\Users\lit\Desktop\Auditorium\view-IP2\047.jpg
IP2,3,48,0.455049315,C:\Users\lit\Desktop\Auditorium\view-IP2\048.jpg
IP2,3,49,0.651035287,C:\Users\lit\Desktop\Auditorium\view-IP2\049.jpg
IP2,3,50,0.782137248,C:\Users\lit\Desktop\Auditorium\view-IP2\050.jpg
IP2,3,51,0.558707559,C:\Users\lit\Desktop\Auditorium\view-IP2\051.jpg
IP2,3,52,0.373716496,C:\Users\lit\Desktop\Auditorium\view-IP2\052.jpg
IP2,3,53,0.445501551,C:\Users\lit\Desktop\Auditorium\view-IP2\053.jpg
IP2,3,54,0.490298825,C:\Users\lit\Desktop\Auditorium\view-IP2\054.jpg
IP2,3,55,0.452312379,C:\Users\lit\Desktop\Auditorium\view-IP2\055.jpg
IP2,3,56,0.450003232,C:\Users\lit\Desktop\Auditorium\view-IP2\056.jpg
IP2,3,57,0.410063005,C:\Users\lit\Desktop\Auditorium\view-IP2\057.jpg
IP2,3,58,0.398673507,C:\Users\lit\Desktop\Auditorium\view-IP2\058.jpg
IP2,3,59,0.362728836,C:\Users\lit\Desktop\Auditorium\view-IP2\059.jpg
IP2,3,60,0.356490752,C:\Users\lit\Desktop\Auditorium\view-IP2\060.jpg
IP2,3,61,0.377485256,C:\Users\lit\Desktop\Auditorium\view-IP2\061.jpg
IP2,3,62,0.452013678,C:\Users\lit\Desktop\Auditorium\view-IP2\062.jpg
IP2,3,63,0.429692535,C:\Users\lit\Desktop\Auditorium\view-IP2\063.jpg
IP2,3,64,0.38201771,C:\Users\lit\Desktop\Auditorium\view-IP2\064.jpg
IP2,3,65,0.413188781,C:\Users\lit\Desktop\Auditorium\view-IP2\065.jpg
IP2,3,66,0.439246253,C:\Users\lit\Desktop\Auditorium\view-IP2\066.jpg
IP2,3,67,0.448429818,C:\Users\lit\Desktop\Auditorium\view-IP2\067.jpg
IP2,3,68,0.532638825,C:\Users\lit\Desktop\Auditorium\view-IP2\068.jpg
IP2,3,69,0.53034,C:\Users\lit\Desktop\Auditorium\view-IP2\069.jpg
IP2,3,70,0.466029278,C:\Users\lit\Desktop\Auditorium\view-IP2\070.jpg
IP2,3,71,0.455833409,C:\Users\lit\Desktop\Auditorium\view-IP2\071.jpg
IP2,3,72,0.39785402,C:\Users\lit\Desktop\Auditorium\view-IP2\072.jpg
IP2,3,73,0.406487341,C:\Users\lit\Desktop\Auditorium\view-IP2\073.jpg
IP2,3,74,0.454960255,C:\Users\lit\Desktop\Auditorium\view-IP2\074.jpg
IP2,3,75,0.479535762,C:\Users\lit\Desktop\Auditorium\view-IP2\075.jpg
IP2,3,76,0.431190755,C:\Users\lit\Desktop\Auditorium\view-IP2\076.jpg
IP2,3,77,0.38701074,C:\Users\lit\Desktop\Auditorium\view-IP2\077.jpg
IP2,3,78,0.428403937,C:\Users\lit\Desktop\Auditorium\view-IP2\078.jpg
IP2,3,79,0.44306445,C:\Users\lit\Desktop\Auditorium\view-IP2\079.jpg
IP2,3,80,0.342959519,C:\Users\lit\Desktop\Auditorium\view-IP2\080.jpg
IP2,3,81,0.301577673,C:\Users\lit\Desktop\Auditorium\view-IP2\081.jpg
IP2,3,82,0.348554483,C:\Users\lit\Desktop\Auditorium\view-IP2\082.jpg
IP2,3,83,0.321666113,C:\Users\lit\Desktop\Auditorium\view-IP2\083.jpg
IP2,3,84,0.304845564,C:\Users\lit\Desktop\Auditorium\view-IP2\084.jpg
IP2,3,85,0.263082849,C:\Users\lit\Desktop\Auditorium\view-IP2\085.jpg
IP2,3,86,0.281892781,C:\Users\lit\Desktop\Auditorium\view-IP2\086.jpg
IP2,3,87,0.324422662,C:\Users\lit\Desktop\Auditorium\view-IP2\087.jpg
IP2,3,88,0.4067438,C:\Users\lit\Desktop\Auditorium\view-IP2\088.jpg
IP2,3,89,0.513562588,C:\Users\lit\Desktop\Auditorium\view-IP2\089.jpg
IP2,3,90,0.413579284,C:\Users\lit\Desktop\Auditorium\view-IP2\090.jpg
IP2,3,91,0.379051138,C:\Users\lit\Desktop\Auditorium\view-IP2\091.jpg
IP2,3,92,0.37691849,C:\Users\lit\Desktop\Auditorium\view-IP2\092.jpg
IP2,3,93,0.404306597,C:\Users\lit\Desktop\Auditorium\view-IP2\093.jpg
IP2,3,94,0.368664889,C:\Users\lit\Desktop\Auditorium\view-IP2\094.jpg
IP2,3,95,0.363283624,C:\Users\lit\Desktop\Auditorium\view-IP2\095.jpg
IP2,3,96,0.358528982,C:\Users\lit\Desktop\Auditorium\view-IP2\096.jpg
IP2,3,97,0.337123506,C:\Users\lit\Desktop\Auditorium\view-IP2\097.jpg
IP2,3,98,0.360641251,C:\Users\lit\Desktop\Auditorium\view-IP2\098.jpg
IP2,3,99,0.313850428,C:\Users\lit\Desktop\Auditorium\view-IP2\099.jpg
IP2,3,100,0.338571956,C:\Users\lit\Desktop\Auditorium\view-IP2\100.jpg
IP2,3,101,0.360769966,C:\Users\lit\Desktop\Auditorium\view-IP2\101.jpg
IP2,3,102,0.336445539,C:\Users\lit\Desktop\Auditorium\view-IP2\102.jpg
IP2,3,103,0.290483756,C:\Users\lit\Desktop\Auditorium\view-IP2\103.jpg
IP2,3,104,0.312704312,C:\Users\lit\Desktop\Auditorium\view-IP2\104.jpg
IP2,3,105,0.296526478,C:\Users\lit\Desktop\Auditorium\view-IP2\105.jpg
IP2,3,106,0.317518069,C:\Users\lit\Desktop\Auditorium\view-IP2\106.jpg
IP2,3,107,0.376660793,C:\Users\lit\Desktop\Auditorium\view-IP2\107.jpg
IP2,3,108,0.36228938,C:\Users\lit\Desktop\Auditorium\view-IP2\108.jpg
IP2,3,109,0.336009807,C:\Users\lit\Desktop\Auditorium\view-IP2\109.jpg
IP2,3,110,0.282757857,C:\Users\lit\Desktop\Auditorium\view-IP2\110.jpg
IP2,3,111,0.280649096,C:\Users\lit\Desktop\Auditorium\view-IP2\111.jpg
IP2,3,112,0.286857421,C:\Users\lit\Desktop\Auditorium\view-IP2\112.jpg
IP2,3,113,0.289231798,C:\Users\lit\Desktop\Auditorium\view-IP2\113.jpg
IP2,3,114,0.280555458,C:\Users\lit\Desktop\Auditorium\view-IP2\114.jpg
IP2,3,115,0.287851511,C:\Users\lit\Desktop\Auditorium\view-IP2\115.jpg
IP2,3,116,0.295497497,C:\Users\lit\Desktop\Auditorium\view-IP2\116.jpg
IP2,3,117,0.304212958,C:\Users\lit\Desktop\Auditorium\view-IP2\117.jpg
IP2,3,118,0.28824063,C:\Users\lit\Desktop\Auditorium\view-IP2\118.jpg
IP2,3,119,0.29317225,C:\Users\lit\Desktop\Auditorium\view-IP2\119.jpg
IP2,3,120,0.292906061,C:\Users\lit\Desktop\Auditorium\view-IP2\120.jpg
IP2,3,121,0.329717571,C:\Users\lit\Desktop\Auditorium\view-IP2\121.jpg
IP2,3,122,0.318736187,C:\Users\lit\Desktop\Auditorium\view-IP2\122.jpg
IP2,3,123,0.319512732,C:\Users\lit\Desktop\Auditorium\view-IP2\123.jpg
IP2,3,124,0.283470513,C:\Users\lit\Desktop\Auditorium\view-IP2\124.jpg
IP2,3,125,0.310781857,C:\Users\lit\Desktop\Auditorium\view-IP2\125.jpg
IP2,3,126,0.273151764,C:\Users\lit\Desktop\Auditorium\view-IP2\126.jpg
IP2,3,127,0.323286505,C:\Users\lit\Desktop\Auditorium\view-IP2\127.jpg
IP2,3,128,0.396650052,C:\Users\lit\Desktop\Auditorium\view-IP2\128.jpg
IP2,3,129,0.355569242,C:\Users\lit\Desktop\Auditorium\view-IP2\129.jpg
IP2,3,130,0.351967571,C:\Users\lit\Desktop\Auditorium\view-IP2\130.jpg
IP2,3,131,0.362144722,C:\Users\lit\Desktop\Auditorium\view-IP2\131.jpg
IP2,3,132,0.314910524,C:\Users\lit\Desktop\Auditorium\view-IP2\132.jpg
IP2,3,133,0.286076388,C:\Users\lit\Desktop\Auditorium\view-IP2\133.jpg
IP2,3,134,0.295682035,C:\Users\lit\Desktop\Auditorium\view-IP2\134.jpg
IP2,3,135,0.288061636,C:\Users\lit\Desktop\Auditorium\view-IP2\135.jpg
IP2,3,136,0.297149675,C:\Users\lit\Desktop\Auditorium\view-IP2\136.jpg
IP2,3,137,0.31247112,C:\Users\lit\Desktop\Auditorium\view-IP2\137.jpg
IP2,3,138,0.312170736,C:\Users\lit\Desktop\Auditorium\view-IP2\138.jpg
IP2,3,139,0.313581395,C:\Users\lit\Desktop\Auditorium\view-IP2\139.jpg
IP2,3,140,0.305848804,C:\Users\lit\Desktop\Auditorium\view-IP2\140.jpg
IP2,3,141,0.305786912,C:\Users\lit\Desktop\Auditorium\view-IP2\141.jpg
IP2,3,142,0.358630659,C:\Users\lit\Desktop\Auditorium\view-IP2\142.jpg
IP2,3,143,0.365428386,C:\Users\lit\Desktop\Auditorium\view-IP2\143.jpg
IP2,3,144,0.335199994,C:\Users\lit\Desktop\Auditorium\view-IP2\144.jpg
IP2,3,145,0.297116293,C:\Users\lit\Desktop\Auditorium\view-IP2\145.jpg
IP2,3,146,0.265787329,C:\Users\lit\Desktop\Auditorium\view-IP2\146.jpg
IP2,3,147,0.276833954,C:\Users\lit\Desktop\Auditorium\view-IP2\147.jpg
IP2,3,148,0.279949399,C:\Users\lit\Desktop\Auditorium\view-IP2\148.jpg
IP2,3,149,0.26313862,C:\Users\lit\Desktop\Auditorium\view-IP2\149.jpg
IP2,3,150,0.27929703,C:\Users\lit\Desktop\Auditorium\view-IP2\150.jpg
IP2,3,151,0.267289573,C:\Users\lit\Desktop\Auditorium\view-IP2\151.jpg
IP2,3,152,0.275172758,C:\Users\lit\Desktop\Auditorium\view-IP2\152.jpg
IP2,3,153,0.253117437,C:\Users\lit\Desktop\Auditorium\view-IP2\153.jpg
IP2,3,154,0.267006213,C:\Users\lit\Desktop\Auditorium\view-IP2\154.jpg
IP2,3,155,0.264184194,C:\Users\lit\Desktop\Auditorium\view-IP2\155.jpg
IP2,3,156,0.262764485,C:\Users\lit\Desktop\Auditorium\view-IP2\156.jpg
IP2,3,157,0.280071825,C:\Users\lit\Desktop\Auditorium\view-IP2\157.jpg
IP2,3,158,0.298094964,C:\Users\lit\Desktop\Auditorium\view-IP2\158.jpg
IP2,3,159,0.451873666,C:\Users\lit\Desktop\Auditorium\view-IP2\159.jpg
IP2,3,160,0.582776888,C:\Users\lit\Desktop\Auditorium\view-IP2\160.jpg
IP2,3,161,0.543394103,C:\Users\lit\Desktop\Auditorium\view-IP2\161.jpg
IP2,3,162,0.641261889,C:\Users\lit\Desktop\Auditorium\view-IP2\162.jpg
IP2,3,163,0.515093941,C:\Users\lit\Desktop\Auditorium\view-IP2\163.jpg
IP2,3,164,0.435614502,C:\Users\lit\Desktop\Auditorium\view-IP2\164.jpg
IP2,3,165,0.580443351,C:\Users\lit\Desktop\Auditorium\view-IP2\165.jpg
IP2,3,166,0.585310616,C:\Users\lit\Desktop\Auditorium\view-IP2\166.jpg
IP2,3,167,0.560140787,C:\Users\lit\Desktop\Auditorium\view-IP2\167.jpg
IP2,3,168,0.302442557,C:\Users\lit\Desktop\Auditorium\view-IP2\168.jpg
IP2,3,169,0.23794137,C:\Users\lit\Desktop\Auditorium\view-IP2\169.jpg
IP2,3,170,0.501811409,C:\Users\lit\Desktop\Auditorium\view-IP2\170.jpg
IP2,3,171,0.287665016,C:\Users\lit\Desktop\Auditorium\view-IP2\171.jpg
IP2,3,172,0.208981399,C:\Users\lit\Desktop\Auditorium\view-IP2\172.jpg
IP2,3,173,0.208951813,C:\Users\lit\Desktop\Auditorium\view-IP2\173.jpg
IP2,3,174,0.233725006,C:\Users\lit\Desktop\Auditorium\view-IP2\174.jpg
IP2,3,175,0.234907325,C:\Users\lit\Desktop\Auditorium\view-IP2\175.jpg
